trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
399,False,"{'a': 0.25, 'e': 0.13601365416684916}",25,13,10.927068590600678,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
400,False,"{'a': 0.25, 'e': 0.1353352832366127}",30,21,18.191523751513376,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.25, 'e': 0.13466029569550586}",20,9,15.852785167905113,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.25, 'e': 0.13398867466880493}",25,4,-14.157795904115337,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
403,False,"{'a': 0.25, 'e': 0.13332040336594936}",20,16,8.442374308690699,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.25, 'e': 0.13265546508012172}",30,16,28.638622701995583,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.25, 'e': 0.13199384318783022}",25,15,-28.579538339156798,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
406,False,"{'a': 0.25, 'e': 0.13133552114849303}",25,8,23.11861096018967,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
407,False,"{'a': 0.25, 'e': 0.13068048250402503}",30,15,19.428856957367334,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
408,False,"{'a': 0.25, 'e': 0.1300287108784259}",20,16,8.65968997149932,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.25, 'e': 0.12938018997737108}",25,2,41.452433013474135,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.25, 'e': 0.12873490358780423}",25,7,35.080283856014695,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.25, 'e': 0.12809283557753198}",25,11,24.308103783708127,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.25, 'e': 0.12745396989482075}",30,15,4.29722687959446,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
413,False,"{'a': 0.25, 'e': 0.1268182905679951}",25,1,26.015091876243037,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.25, 'e': 0.12618578170503877}",25,13,25.22515982964386,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.25, 'e': 0.1255564274931972}",25,2,27.402342563075404,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
416,False,"{'a': 0.25, 'e': 0.12493021219858241}",20,3,-36.74668691748923,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
417,False,"{'a': 0.25, 'e': 0.12430712016577938}",25,13,-3.470072473173076,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
418,False,"{'a': 0.25, 'e': 0.12368713581745483}",25,13,25.485492950595443,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.25, 'e': 0.12307024365396771}",25,11,-8.229434794346798,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
420,False,"{'a': 0.25, 'e': 0.1224564282529819}",25,13,26.007218797505356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.25, 'e': 0.12184567426908036}",25,3,38.00787762122486,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.25, 'e': 0.12123796643338168}",20,5,28.486237205272506,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.25, 'e': 0.12063328955315826}",20,14,10.761374569845742,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.25, 'e': 0.12003162851145673}",20,0,25.690441802168266,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
425,False,"{'a': 0.25, 'e': 0.11943296826671962}",25,17,8.028138178263994,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.25, 'e': 0.11883729385240965}",30,17,12.2222293265166,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
427,False,"{'a': 0.25, 'e': 0.1182445903766354}",30,15,6.512292438074843,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
428,False,"{'a': 0.25, 'e': 0.11765484302177918}",25,2,34.21770264871721,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.25, 'e': 0.11706803704412637}",30,18,19.033100962671604,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.25, 'e': 0.11648415777349697}",20,2,33.18344000961942,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.25, 'e': 0.11590319061287874}",20,0,26.931780808602177,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
432,False,"{'a': 0.25, 'e': 0.11532512103806251}",25,11,12.335055298679476,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
433,False,"{'a': 0.25, 'e': 0.11474993459727875}",20,9,-25.278372675322938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
434,False,"{'a': 0.25, 'e': 0.1141776169108365}",20,3,33.94644412934554,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.25, 'e': 0.11360815367076371}",25,9,-10.075007746017087,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
436,False,"{'a': 0.25, 'e': 0.11304153064044985}",25,7,32.85014358997979,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.25, 'e': 0.11247773365428958}",25,20,8.99718131026804,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.25, 'e': 0.11191674861732888}",20,3,7.641403605851165,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
439,False,"{'a': 0.25, 'e': 0.11135856150491262}",25,7,41.45552177526488,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
